"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2026-04-05T00:00+0100","Zch_Heubeeribüel","T","d1","°C",14.65,"provisorisch"
"2026-04-05T00:00+0100","Zch_Heubeeribüel","T_max_h1","d1","°C",22.09,"provisorisch"
"2026-04-05T00:00+0100","Zch_Heubeeribüel","p","d1","hPa",951.17,"provisorisch"
"2026-04-05T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",75.65,"provisorisch"
"2026-04-05T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",15.24,"provisorisch"
"2026-04-05T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",23.06,"provisorisch"
"2026-04-05T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",971.08,"provisorisch"
"2026-04-05T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",135.72,"provisorisch"
"2026-04-05T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",15.03,"provisorisch"
"2026-04-05T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",23.22,"provisorisch"
"2026-04-05T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",973.53,"provisorisch"
"2026-04-05T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",79.15,"provisorisch"
"2026-04-05T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",227.64,"provisorisch"
"2026-04-05T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",15.46,"provisorisch"
"2026-04-05T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",22.83,"provisorisch"
"2026-04-05T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",971.09,"provisorisch"
"2026-04-06T00:00+0100","Zch_Heubeeribüel","T","d1","°C",13.53,"provisorisch"
"2026-04-06T00:00+0100","Zch_Heubeeribüel","T_max_h1","d1","°C",18.34,"provisorisch"
"2026-04-06T00:00+0100","Zch_Heubeeribüel","p","d1","hPa",954.37,"provisorisch"
"2026-04-06T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",15.07,"provisorisch"
"2026-04-06T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",14.66,"provisorisch"
"2026-04-06T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",19.61,"provisorisch"
"2026-04-06T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",974.37,"provisorisch"
"2026-04-06T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",55.73,"provisorisch"
"2026-04-06T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",15.0,"provisorisch"
"2026-04-06T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",19.98,"provisorisch"
